# Time Mag MagErr
3042.656865 -0.058098 0.000813
3042.659180 -0.054387 0.000815
3042.661495 -0.050175 0.000817
3042.663809 -0.045976 0.000819
3042.666124 -0.041699 0.000820
3042.668439 -0.037307 0.000823
3042.670754 -0.032748 0.000825
3042.673069 -0.028988 0.000826
3042.675383 -0.021989 0.000829
3042.677698 -0.017744 0.000831
3042.680013 -0.015010 0.000833
3042.682328 -0.008845 0.000836
3042.684643 -0.004966 0.000837
3042.686957 0.000182 0.000840
3042.689272 0.005781 0.000843
3042.691587 0.008311 0.000844
3042.693902 0.012998 0.000846
3042.696217 0.018288 0.000848
3042.698531 0.022217 0.000850
3042.700846 0.025907 0.000852
3042.703161 0.032375 0.000855
3042.705476 0.034496 0.000856
3042.707790 0.038827 0.000858
3042.710105 0.043811 0.000861
3042.712420 0.045828 0.000862
3042.714735 0.049780 0.000863
3042.717050 0.053510 0.000865
3042.719364 0.056743 0.000867
3042.721679 0.058211 0.000868
3042.723994 0.061042 0.000869
3042.726309 0.063576 0.000870
3042.728624 0.066359 0.000871
3042.730938 0.069009 0.000873
3042.733253 0.071273 0.000874
3042.735568 0.074657 0.000876
3042.737883 0.076410 0.000876
3042.740197 0.078889 0.000878
3042.742512 0.081786 0.000880
3042.744827 0.082182 0.000880
3042.747142 0.084844 0.000880
3042.749457 0.086704 0.000882
3042.751771 0.088085 0.000882
3042.754086 0.090166 0.000883
3042.756401 0.091182 0.000884
3042.758716 0.092535 0.000884
3042.761031 0.095073 0.000886
3042.763345 0.094449 0.000885
3042.765660 0.095189 0.000886
3042.767975 0.094812 0.000886
3042.770290 0.094178 0.000885
3042.772605 0.094894 0.000885
3042.774919 0.090100 0.000883
3042.777234 0.092260 0.000884
3042.779549 0.089534 0.000883
3042.781864 0.088237 0.000883
3042.784178 0.084108 0.000881
3042.786493 0.081132 0.000879
3042.788808 0.076250 0.000877
3042.791123 0.073040 0.000875
3042.793438 0.068717 0.000873
3042.795752 0.062390 0.000870
3042.798067 0.059130 0.000868
3042.800382 0.054070 0.000865
3042.802697 0.045665 0.000861
3042.805012 0.041138 0.000860
3042.807326 0.034605 0.000856
3042.809641 0.030129 0.000854
3042.811956 0.022542 0.000850
3042.814271 0.018386 0.000848
3042.816586 0.013027 0.000846
3042.818900 0.006412 0.000843
3042.821215 0.000073 0.000839
3042.823530 -0.003475 0.000838
3042.825845 -0.009357 0.000835
3042.828159 -0.014360 0.000833
3042.830474 -0.018096 0.000831
3042.832789 -0.022763 0.000829
3042.835104 -0.029284 0.000826
3042.837419 -0.033358 0.000824
3042.839733 -0.037803 0.000822
3042.842048 -0.040766 0.000821
3042.844363 -0.045433 0.000819
3042.846678 -0.048567 0.000817
3042.848993 -0.053716 0.000815
3042.851307 -0.055801 0.000814
3042.853622 -0.059595 0.000812
3042.855937 -0.063344 0.000811
3042.858252 -0.066882 0.000809
3042.860566 -0.070253 0.000808
3042.862881 -0.073515 0.000806
3042.865196 -0.076514 0.000805
3042.867511 -0.077877 0.000804
3042.869826 -0.082175 0.000803
3042.872140 -0.083924 0.000801
3042.874455 -0.084473 0.000801
3042.876770 -0.087390 0.000800
3042.879085 -0.085830 0.000801
3042.881400 -0.090664 0.000799
3042.883714 -0.090512 0.000799
3042.886029 -0.092088 0.000798
3042.888344 -0.093320 0.000797
3042.890659 -0.093324 0.000797
3042.892974 -0.095466 0.000796
3042.895288 -0.094050 0.000797
3042.897603 -0.093206 0.000798
3042.899918 -0.090052 0.000799
3042.902233 -0.090972 0.000798
3042.904547 -0.086125 0.000801
3042.906862 -0.084091 0.000801
3042.909177 -0.080712 0.000803
3042.911492 -0.076491 0.000805
3042.913807 -0.073953 0.000806
3042.916121 -0.067596 0.000809
3042.918436 -0.065019 0.000810
3042.920751 -0.059881 0.000812
3042.923066 -0.055510 0.000814
3042.925381 -0.048978 0.000817
3042.927695 -0.043025 0.000820
3042.930010 -0.037019 0.000823
3042.932325 -0.033553 0.000824
3042.934640 -0.027873 0.000827
3042.936955 -0.020458 0.000830
3042.939269 -0.016063 0.000832
3042.941584 -0.010108 0.000835
3042.943899 -0.004786 0.000837
3042.946214 0.001141 0.000840
3042.948528 0.005097 0.000842
3042.950843 0.009130 0.000844
3042.953158 0.016957 0.000847
3042.955473 0.019022 0.000848
3042.957788 0.023757 0.000851
3042.960102 0.029682 0.000854
3042.962417 0.034043 0.000856
3042.964732 0.039393 0.000858
3042.967047 0.042125 0.000859
3042.969362 0.048382 0.000863
3042.971676 0.052100 0.000865
3042.973991 0.055226 0.000866
3042.976306 0.059611 0.000868
3042.978621 0.064386 0.000870
3042.980935 0.067316 0.000872
3042.983250 0.071342 0.000874
3042.985565 0.074310 0.000875
3042.987880 0.079373 0.000878
3042.990195 0.083035 0.000880
3042.992509 0.086125 0.000881
3042.994824 0.089114 0.000883
3042.997139 0.090820 0.000884
3042.999454 0.093655 0.000885
3043.001769 0.099580 0.000888
3043.004083 0.098723 0.000887
3043.006398 0.101933 0.000889
3043.008713 0.104005 0.000890
3043.011028 0.104681 0.000890
3043.013343 0.106048 0.000891
3043.015657 0.107372 0.000892
3043.017972 0.106051 0.000891
3043.020287 0.105334 0.000891
3043.022602 0.108878 0.000893
3043.024916 0.107377 0.000892
3043.027231 0.105638 0.000891
3043.029546 0.105567 0.000891
3043.031861 0.102951 0.000889
3043.034176 0.099024 0.000887
3043.036490 0.097731 0.000887
3043.038805 0.093005 0.000885
3043.041120 0.088149 0.000882
3043.043435 0.084953 0.000881
3043.045750 0.077337 0.000877
3043.048064 0.074160 0.000875
3043.050379 0.066944 0.000872
3043.052694 0.060038 0.000868
3043.055009 0.052479 0.000865
3043.057323 0.045909 0.000861
3043.059638 0.037193 0.000857
3043.061953 0.028428 0.000853
3043.064268 0.020445 0.000849
3043.066583 0.013436 0.000846
3043.068897 0.004546 0.000842
3043.071212 -0.003238 0.000838
3043.073527 -0.009142 0.000835
3043.075842 -0.015023 0.000833
3043.078157 -0.022196 0.000829
