# Time Mag MagErr
3535.296351 -0.100417 0.000516
3535.298666 -0.095466 0.000518
3535.300981 -0.090708 0.000519
3535.303295 -0.083866 0.000521
3535.305610 -0.078744 0.000522
3535.307925 -0.073203 0.000524
3535.310240 -0.065653 0.000526
3535.312555 -0.060147 0.000528
3535.314870 -0.054816 0.000529
3535.317185 -0.048079 0.000531
3535.319500 -0.042418 0.000533
3535.321815 -0.036546 0.000534
3535.324129 -0.030437 0.000536
3535.326444 -0.023951 0.000538
3535.328759 -0.017585 0.000540
3535.331074 -0.011271 0.000542
3535.333389 -0.004126 0.000544
3535.335704 0.002295 0.000546
3535.338019 0.008193 0.000547
3535.340334 0.015676 0.000550
3535.342648 0.020937 0.000551
3535.344963 0.027642 0.000553
3535.347278 0.035151 0.000555
3535.349593 0.042725 0.000558
3535.351908 0.048912 0.000559
